# Created by Octave 3.0.1, Fri Sep 11 14:46:49 2009 PDT <jwawerla@marvin2>
# name: gg
# type: matrix
# rows: 400
# columns: 10
 3 3 5 34 34 34 43 43 43 43
 9 9 14 14 14 41 41 41 48 48
 7 8 10 10 30 38 38 48 48 49
 3 6 20 31 34 39 42 42 42 48
 8 8 9 22 22 44 48 48 48 48
 5 7 7 37 43 45 47 47 48 49
 11 16 17 33 38 42 42 43 43 44
 10 13 16 30 30 45 47 49 49 49
 6 6 6 31 38 44 44 49 49 49
 10 12 15 38 39 45 45 45 45 45
 10 16 20 31 32 36 46 46 46 46
 3 11 13 31 31 31 31 31 31 50
 3 3 3 25 25 42 42 50 50 50
 8 8 32 35 37 43 43 48 48 50
 3 3 5 28 38 38 46 47 47 47
 3 3 5 20 37 40 40 44 44 44
 8 10 20 25 38 43 43 43 43 49
 10 13 13 23 23 45 45 47 47 47
 4 7 24 30 31 46 47 48 48 50
 4 5 5 14 39 47 47 50 50 50
 9 25 25 28 35 46 46 47 47 47
 4 5 5 35 35 36 42 42 42 49
 6 19 26 38 38 39 43 48 48 48
 3 3 5 32 33 46 47 47 47 47
 4 7 7 33 33 43 49 49 49 49
 16 16 16 34 35 46 47 47 47 49
 9 9 11 33 39 40 48 48 49 49
 16 19 22 28 32 43 45 49 49 49
 10 15 15 33 34 44 44 46 46 48
 9 9 20 20 32 33 33 41 41 41
 10 19 21 38 38 40 40 46 46 46
 5 12 34 36 37 40 42 42 42 48
 9 17 18 18 18 32 44 44 44 48
 11 19 19 31 31 40 43 45 45 49
 12 12 12 21 32 35 41 42 49 49
 11 11 17 33 42 42 42 45 45 50
 14 18 20 29 33 45 49 49 49 49
 8 11 11 29 37 40 40 46 46 46
 5 9 12 26 34 34 34 43 50 50
 2 2 2 13 37 46 46 48 48 48
 15 15 16 36 36 39 46 46 46 48
 12 13 13 13 13 48 48 48 48 48
 11 14 24 37 38 48 49 49 49 49
 5 8 24 28 30 43 43 49 49 49
 10 10 10 25 25 39 39 39 40 43
 17 20 20 24 24 46 47 48 48 48
 4 10 10 15 15 46 46 46 46 49
 4 28 32 32 35 39 43 43 45 47
 4 21 23 25 26 38 38 48 48 49
 8 17 18 38 38 38 48 48 48 48
 9 9 9 36 38 46 47 47 47 50
 14 17 22 25 26 40 42 44 44 50
 4 6 6 37 37 43 43 48 49 49
 8 8 8 30 33 41 41 47 47 47
 9 9 9 25 25 45 45 47 47 47
 164 224 224 282 282 293 293 298 298 298
 118 232 240 284 285 294 294 300 300 300
